[citi] proxy: none (direct). If Excel needs a proxy, set HTTPS_PROXY or pass --proxy host:port.
============================================================
[citi] UID  : http://localhost:8198/    (serves UnifiedPricer.html)
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=393
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=393
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=401
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=401
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=407
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=407
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=413
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=413
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=415
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=415
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=418
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=418
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=423
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=423
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=429
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=429
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=434
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=434
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=440
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=440
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=447
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=447
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=453
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=453
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=457
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=457
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=463
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=463
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=469
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=469
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=475
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=475
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=481
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=481
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=487
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=487
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=492
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=492
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=498
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=498
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=502
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=502
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=507
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=507
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=511
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=511
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=516
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=516
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=523
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=523
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=529
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=529
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=533
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=533
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=536
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=536
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=540
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=540
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=543
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=543
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=548
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=548
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=555
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=555
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=561
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=561
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=566
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=566
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=571
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=571
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=577
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=577
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=582
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=582
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=589
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=589
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=593
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=593
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=598
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=598
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=605
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=605
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=610
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=611
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=616
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=616
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=621
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=621
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=628
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=628
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=633
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=633
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=636
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=636
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=639
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=639
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=645
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=645
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=647
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=647
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=654
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=654
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=659
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=659
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=663
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=663
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=668
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=668
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=672
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=672
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=676
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=676
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=682
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=682
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=689
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=689
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=694
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=694
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=699
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=699
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=704
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=704
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=708
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=708
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=713
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=713
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=718
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=718
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=725
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=725
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=727
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=727
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=731
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=731
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=734
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=734
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=735
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=735
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=740
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=740
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=743
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=743
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=746
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=746
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=749
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=749
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=752
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=752
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=756
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=756
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=757
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=757
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=760
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=760
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=764
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=764
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=768
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=768
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=771
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=771
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=774
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=774
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=777
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=777
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=779
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=779
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=781
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=781
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=783
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=783
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=784
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=784
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=788
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=788
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=791
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=791
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=794
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=794
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=797
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=797
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=800
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=800
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=804
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=804
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=807
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=807
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=810
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=810
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=814
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=814
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=816
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=816
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=818
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=818
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=819
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=819
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=822
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=822
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=825
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=825
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=828
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=828
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=828
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=828
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=831
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=831
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=834
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=834
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=837
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=837
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=840
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=840
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=843
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=843
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=845
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=845
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=848
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=848
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=851
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=851
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=854
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=854
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=857
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=857
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=860
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=860
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=863
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=863
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=867
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=867
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=871
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=871
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=872
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=872
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=876
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=876
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=879
