date,product,expiry,tenor,leg,value
2021-12-30 00:00:00,swap_par,,8Y,,1.25763
2021-12-30 00:00:00,swap_par,,9Y,,1.28964
2022-09-28 00:00:00,swap_par,,10Y,,3.46521
2022-09-28 00:00:00,swap_par,,12Y,,3.4396
2022-09-28 00:00:00,swap_par,,15Y,,3.40352
2022-09-28 00:00:00,swap_par,,1Y,,4.18235
2022-09-28 00:00:00,swap_par,,20Y,,3.29043
2022-09-28 00:00:00,swap_par,,25Y,,3.12745
2022-09-28 00:00:00,swap_par,,2Y,,4.11017
2022-09-28 00:00:00,swap_par,,30Y,,2.98654
2022-09-28 00:00:00,swap_par,,3Y,,3.91497
2022-09-28 00:00:00,swap_par,,40Y,,2.73404
2022-09-28 00:00:00,swap_par,,4Y,,3.77567
2022-09-28 00:00:00,swap_par,,5Y,,3.68094
2022-09-28 00:00:00,swap_par,,6M,,3.91898
2022-09-28 00:00:00,swap_par,,6Y,,3.61705
2022-09-28 00:00:00,swap_par,,7Y,,3.56273
2022-09-28 00:00:00,swap_par,,8Y,,3.519
2022-09-28 00:00:00,swap_par,,9Y,,3.48661
2023-06-27 00:00:00,swap_par,,10Y,,3.50464
2023-06-27 00:00:00,swap_par,,12Y,,3.48139
2023-06-27 00:00:00,swap_par,,15Y,,3.45999
2023-06-27 00:00:00,swap_par,,1Y,,5.30843
2023-06-27 00:00:00,swap_par,,20Y,,3.39985
2023-06-27 00:00:00,swap_par,,25Y,,3.28945
2023-06-27 00:00:00,swap_par,,2Y,,4.70102
2023-06-27 00:00:00,swap_par,,30Y,,3.18361
2023-06-27 00:00:00,swap_par,,3Y,,4.26147
2023-06-27 00:00:00,swap_par,,40Y,,2.97461
2023-06-27 00:00:00,swap_par,,4Y,,3.98539
2023-06-27 00:00:00,swap_par,,5Y,,3.81043
2023-06-27 00:00:00,swap_par,,6M,,5.33582
2023-06-27 00:00:00,swap_par,,6Y,,3.69871
2023-06-27 00:00:00,swap_par,,7Y,,3.62066
2023-06-27 00:00:00,swap_par,,8Y,,3.56673
2023-06-27 00:00:00,swap_par,,9Y,,3.5309
2024-03-25 00:00:00,swap_par,,10Y,,3.89432
2024-03-25 00:00:00,swap_par,,12Y,,3.89893
2024-03-25 00:00:00,swap_par,,15Y,,3.9077
2024-03-25 00:00:00,swap_par,,1Y,,5.01515
2024-03-25 00:00:00,swap_par,,20Y,,3.88023
2024-03-25 00:00:00,swap_par,,25Y,,3.79413
2024-03-25 00:00:00,swap_par,,2Y,,4.52061
2024-03-25 00:00:00,swap_par,,30Y,,3.7013
2024-03-25 00:00:00,swap_par,,3Y,,4.24611
2024-03-25 00:00:00,swap_par,,40Y,,3.4977
2024-03-25 00:00:00,swap_par,,4Y,,4.09613
2024-03-25 00:00:00,swap_par,,5Y,,4.00771
2024-03-25 00:00:00,swap_par,,6M,,5.23316
2024-03-25 00:00:00,swap_par,,6Y,,3.95933
2024-03-25 00:00:00,swap_par,,7Y,,3.92923
2024-03-25 00:00:00,swap_par,,8Y,,3.91048
2024-03-25 00:00:00,swap_par,,9Y,,3.90009
2024-12-20 00:00:00,swap_par,,10Y,,4.03496
2024-12-20 00:00:00,swap_par,,12Y,,4.04864
2024-12-20 00:00:00,swap_par,,15Y,,4.06486
2024-12-20 00:00:00,swap_par,,1Y,,4.22289
2024-12-20 00:00:00,swap_par,,20Y,,4.04345
2024-12-20 00:00:00,swap_par,,25Y,,3.96367
2024-12-20 00:00:00,swap_par,,2Y,,4.13201
2024-12-20 00:00:00,swap_par,,30Y,,3.86961
2024-12-20 00:00:00,swap_par,,3Y,,4.08969
2024-12-20 00:00:00,swap_par,,40Y,,3.6679
2024-12-20 00:00:00,swap_par,,4Y,,4.06216
2024-12-20 00:00:00,swap_par,,5Y,,4.04729
2024-12-20 00:00:00,swap_par,,6M,,4.2757
2024-12-20 00:00:00,swap_par,,6Y,,4.03885
2024-12-20 00:00:00,swap_par,,7Y,,4.03352
2024-12-20 00:00:00,swap_par,,8Y,,4.03027
2024-12-20 00:00:00,swap_par,,9Y,,4.03075
2025-09-18 00:00:00,swap_par,,10Y,,3.58434
2025-09-18 00:00:00,swap_par,,12Y,,3.69155
2025-09-18 00:00:00,swap_par,,15Y,,3.81565
2025-09-18 00:00:00,swap_par,,1Y,,3.60475
2025-09-18 00:00:00,swap_par,,20Y,,3.91932
2025-09-18 00:00:00,swap_par,,25Y,,3.93021
2025-09-18 00:00:00,swap_par,,2Y,,3.32433
2025-09-18 00:00:00,swap_par,,30Y,,3.89918
2025-09-18 00:00:00,swap_par,,3Y,,3.26382
2025-09-18 00:00:00,swap_par,,40Y,,3.79436
2025-09-18 00:00:00,swap_par,,4Y,,3.26522
2025-09-18 00:00:00,swap_par,,5Y,,3.29556
2025-09-18 00:00:00,swap_par,,6M,,3.8424
2025-09-18 00:00:00,swap_par,,6Y,,3.34536
2025-09-18 00:00:00,swap_par,,7Y,,3.40595
2025-09-18 00:00:00,swap_par,,8Y,,3.46731
2025-09-18 00:00:00,swap_par,,9Y,,3.52663
2026-06-17 00:00:00,swap_par,,10Y,,4.04668
2026-06-17 00:00:00,swap_par,,12Y,,4.10526
2026-06-17 00:00:00,swap_par,,15Y,,4.18469
2026-06-17 00:00:00,swap_par,,1Y,,4.04384
2026-06-17 00:00:00,swap_par,,20Y,,4.25131
2026-06-17 00:00:00,swap_par,,25Y,,4.24493
2026-06-17 00:00:00,swap_par,,2Y,,4.02019
2026-06-17 00:00:00,swap_par,,30Y,,4.20517
2026-06-17 00:00:00,swap_par,,3Y,,3.97916
2026-06-17 00:00:00,swap_par,,40Y,,4.08506
2026-06-17 00:00:00,swap_par,,4Y,,3.95094
2026-06-17 00:00:00,swap_par,,5Y,,3.94321
2026-06-17 00:00:00,swap_par,,6M,,3.85237
2026-06-17 00:00:00,swap_par,,6Y,,3.95279
2026-06-17 00:00:00,swap_par,,7Y,,3.97062
2026-06-17 00:00:00,swap_par,,8Y,,3.99354
2026-06-17 00:00:00,swap_par,,9Y,,4.01887
2026-06-22 00:00:00,swap_par,,10Y,,4.1023
2026-06-22 00:00:00,swap_par,,12Y,,4.15707
2026-06-22 00:00:00,swap_par,,15Y,,4.23114
2026-06-22 00:00:00,swap_par,,1Y,,4.0677
2026-06-22 00:00:00,swap_par,,20Y,,4.29153
2026-06-22 00:00:00,swap_par,,25Y,,4.27991
2026-06-22 00:00:00,swap_par,,2Y,,4.0985
2026-06-22 00:00:00,swap_par,,30Y,,4.23608
2026-06-22 00:00:00,swap_par,,3Y,,4.0506
2026-06-22 00:00:00,swap_par,,40Y,,4.11032
2026-06-22 00:00:00,swap_par,,4Y,,4.01824
2026-06-22 00:00:00,swap_par,,5Y,,4.00879
2026-06-22 00:00:00,swap_par,,6M,,3.87716
2026-06-22 00:00:00,swap_par,,6Y,,4.01689
2026-06-22 00:00:00,swap_par,,7Y,,4.03263
2026-06-22 00:00:00,swap_par,,8Y,,4.05328
2026-06-22 00:00:00,swap_par,,9Y,,4.07682
2026-06-23 00:00:00,swap_par,,10Y,,4.08417
2026-06-23 00:00:00,swap_par,,12Y,,4.14049
2026-06-23 00:00:00,swap_par,,15Y,,4.21629
2026-06-23 00:00:00,swap_par,,1Y,,4.04102
2026-06-23 00:00:00,swap_par,,20Y,,4.2777
2026-06-23 00:00:00,swap_par,,25Y,,4.26708
2026-06-23 00:00:00,swap_par,,2Y,,4.05743
2026-06-23 00:00:00,swap_par,,30Y,,4.2237
2026-06-23 00:00:00,swap_par,,3Y,,4.01189
2026-06-23 00:00:00,swap_par,,40Y,,4.09821
2026-06-23 00:00:00,swap_par,,4Y,,3.98327
2026-06-23 00:00:00,swap_par,,5Y,,3.97788
2026-06-23 00:00:00,swap_par,,6M,,3.87248
2026-06-23 00:00:00,swap_par,,6Y,,3.98961
2026-06-23 00:00:00,swap_par,,7Y,,4.00811
2026-06-23 00:00:00,swap_par,,8Y,,4.03107
2026-06-23 00:00:00,swap_par,,9Y,,4.05705
2026-06-24 00:00:00,swap_par,,10Y,,3.99008
2026-06-24 00:00:00,swap_par,,12Y,,4.04797
2026-06-24 00:00:00,swap_par,,15Y,,4.12631
2026-06-24 00:00:00,swap_par,,1Y,,4.01224
2026-06-24 00:00:00,swap_par,,20Y,,4.19157
2026-06-24 00:00:00,swap_par,,25Y,,4.18325
2026-06-24 00:00:00,swap_par,,2Y,,3.9948
2026-06-24 00:00:00,swap_par,,30Y,,4.14198
2026-06-24 00:00:00,swap_par,,3Y,,3.93581
2026-06-24 00:00:00,swap_par,,40Y,,4.01706
2026-06-24 00:00:00,swap_par,,4Y,,3.9013
2026-06-24 00:00:00,swap_par,,5Y,,3.89272
2026-06-24 00:00:00,swap_par,,6M,,3.85669
2026-06-24 00:00:00,swap_par,,6Y,,3.90113
2026-06-24 00:00:00,swap_par,,7Y,,3.91698
2026-06-24 00:00:00,swap_par,,8Y,,3.93862
2026-06-24 00:00:00,swap_par,,9Y,,3.96334
2026-06-25 00:00:00,swap_par,,10Y,,3.98194
2026-06-25 00:00:00,swap_par,,12Y,,4.04209
2026-06-25 00:00:00,swap_par,,15Y,,4.12332
2026-06-25 00:00:00,swap_par,,1Y,,3.99447
2026-06-25 00:00:00,swap_par,,20Y,,4.18972
2026-06-25 00:00:00,swap_par,,25Y,,4.18101
2026-06-25 00:00:00,swap_par,,2Y,,3.97284
2026-06-25 00:00:00,swap_par,,30Y,,4.14042
2026-06-25 00:00:00,swap_par,,3Y,,3.91643
2026-06-25 00:00:00,swap_par,,40Y,,4.01581
2026-06-25 00:00:00,swap_par,,4Y,,3.88373
