date,name
1991-09-09,Rosh Hashanah I
1991-09-10,Rosh Hashanah II
1991-09-11,Fast of Gedaliah
1991-09-18,Yom Kippur
1991-09-23,Sukkot I
1991-09-24,Sukkot II
1991-09-25,Chol HaMoed Sukkot
1991-09-26,Chol HaMoed Sukkot
1991-09-27,Chol HaMoed Sukkot
1991-09-28,Chol HaMoed Sukkot
1991-09-29,Hoshana Rabbah
1991-09-30,Shemini Atzeret
1991-10-01,Simchat Torah
1991-12-02,Chanukah Day 1
1991-12-03,Chanukah Day 2
1991-12-04,Chanukah Day 3
1991-12-05,Chanukah Day 4
1991-12-06,Chanukah Day 5
1991-12-07,Chanukah Day 6
1991-12-08,Chanukah Day 7
1991-12-09,Chanukah Day 8
1991-12-17,Fast of 10 Tevet
1992-01-20,Tu BiShvat
1992-02-18,Purim Katan
1992-02-19,Shushan Purim Katan
1992-03-18,Fast of Esther
1992-03-19,Purim
1992-03-20,Shushan Purim
1992-04-18,Pesach I
1992-04-19,Pesach II
1992-04-20,Chol HaMoed Pesach
1992-04-21,Chol HaMoed Pesach
1992-04-22,Chol HaMoed Pesach
1992-04-23,Chol HaMoed Pesach
1992-04-24,Pesach VII
1992-04-25,Pesach VIII
1992-04-30,Yom HaShoah
1992-05-06,Yom HaZikaron
1992-05-07,Yom HaAtzmaut
1992-05-21,Lag B'Omer
1992-05-31,Yom Yerushalayim
1992-06-07,Shavuot I
1992-06-08,Shavuot II
1992-07-19,Fast of 17 Tammuz
1992-08-09,Tisha B'Av
1992-08-14,Tu B'Av
1992-09-28,Rosh Hashanah I
1992-09-29,Rosh Hashanah II
1992-09-30,Fast of Gedaliah
1992-10-07,Yom Kippur
1992-10-12,Sukkot I
1992-10-13,Sukkot II
1992-10-14,Chol HaMoed Sukkot
1992-10-15,Chol HaMoed Sukkot
1992-10-16,Chol HaMoed Sukkot
1992-10-17,Chol HaMoed Sukkot
1992-10-18,Hoshana Rabbah
1992-10-19,Shemini Atzeret
1992-10-20,Simchat Torah
1992-12-20,Chanukah Day 1
1992-12-21,Chanukah Day 2
1992-12-22,Chanukah Day 3
1992-12-23,Chanukah Day 4
1992-12-24,Chanukah Day 5
1992-12-25,Chanukah Day 6
1992-12-26,Chanukah Day 7
1992-12-27,Chanukah Day 8
1993-01-03,Fast of 10 Tevet
1993-02-06,Tu BiShvat
1993-03-04,Fast of Esther
1993-03-07,Purim
1993-03-08,Shushan Purim
1993-04-06,Pesach I
1993-04-07,Pesach II
1993-04-08,Chol HaMoed Pesach
1993-04-09,Chol HaMoed Pesach
1993-04-10,Chol HaMoed Pesach
1993-04-11,Chol HaMoed Pesach
1993-04-12,Pesach VII
1993-04-13,Pesach VIII
1993-04-19,Yom HaShoah
1993-04-26,Yom HaZikaron
1993-04-27,Yom HaAtzmaut
1993-05-09,Lag B'Omer
1993-05-19,Yom Yerushalayim
1993-05-26,Shavuot I
1993-05-27,Shavuot II
1993-07-06,Fast of 17 Tammuz
1993-07-27,Tisha B'Av
1993-08-02,Tu B'Av
1993-09-16,Rosh Hashanah I
1993-09-17,Rosh Hashanah II
1993-09-19,Fast of Gedaliah
1993-09-25,Yom Kippur
1993-09-30,Sukkot I
1993-10-01,Sukkot II
1993-10-02,Chol HaMoed Sukkot
1993-10-03,Chol HaMoed Sukkot
1993-10-04,Chol HaMoed Sukkot
1993-10-05,Chol HaMoed Sukkot
1993-10-06,Hoshana Rabbah
1993-10-07,Shemini Atzeret
1993-10-08,Simchat Torah
1993-12-09,Chanukah Day 1
1993-12-10,Chanukah Day 2
1993-12-11,Chanukah Day 3
1993-12-12,Chanukah Day 4
1993-12-13,Chanukah Day 5
1993-12-14,Chanukah Day 6
1993-12-15,Chanukah Day 7
1993-12-16,Chanukah Day 8
1993-12-24,Fast of 10 Tevet
1994-01-27,Tu BiShvat
1994-02-24,Fast of Esther
1994-02-25,Purim
1994-02-26,Shushan Purim
1994-03-27,Pesach I
1994-03-28,Pesach II
1994-03-29,Chol HaMoed Pesach
1994-03-30,Chol HaMoed Pesach
1994-03-31,Chol HaMoed Pesach
1994-04-01,Chol HaMoed Pesach
1994-04-02,Pesach VII
1994-04-03,Pesach VIII
1994-04-07,Yom HaShoah
1994-04-13,Yom HaZikaron
1994-04-14,Yom HaAtzmaut
1994-04-29,Lag B'Omer
1994-05-09,Yom Yerushalayim
1994-05-16,Shavuot I
1994-05-17,Shavuot II
1994-06-26,Fast of 17 Tammuz
1994-07-17,Tisha B'Av
1994-07-23,Tu B'Av
1994-09-06,Rosh Hashanah I
1994-09-07,Rosh Hashanah II
1994-09-08,Fast of Gedaliah
1994-09-15,Yom Kippur
1994-09-20,Sukkot I
1994-09-21,Sukkot II
1994-09-22,Chol HaMoed Sukkot
1994-09-23,Chol HaMoed Sukkot
1994-09-24,Chol HaMoed Sukkot
1994-09-25,Chol HaMoed Sukkot
1994-09-26,Hoshana Rabbah
1994-09-27,Shemini Atzeret
1994-09-28,Simchat Torah
1994-11-28,Chanukah Day 1
1994-11-29,Chanukah Day 2
1994-11-30,Chanukah Day 3
1994-12-01,Chanukah Day 4
1994-12-02,Chanukah Day 5
1994-12-03,Chanukah Day 6
1994-12-04,Chanukah Day 7
1994-12-05,Chanukah Day 8
1994-12-13,Fast of 10 Tevet
1995-01-16,Tu BiShvat
1995-02-14,Purim Katan
1995-02-15,Shushan Purim Katan
1995-03-15,Fast of Esther
1995-03-16,Purim
1995-03-17,Shushan Purim
1995-04-15,Pesach I
1995-04-16,Pesach II
1995-04-17,Chol HaMoed Pesach
1995-04-18,Chol HaMoed Pesach
1995-04-19,Chol HaMoed Pesach
1995-04-20,Chol HaMoed Pesach
1995-04-21,Pesach VII
1995-04-22,Pesach VIII
1995-04-27,Yom HaShoah
1995-05-03,Yom HaZikaron
1995-05-04,Yom HaAtzmaut
1995-05-18,Lag B'Omer
1995-05-28,Yom Yerushalayim
1995-06-04,Shavuot I
1995-06-05,Shavuot II
1995-07-16,Fast of 17 Tammuz
1995-08-06,Tisha B'Av
1995-08-11,Tu B'Av
1995-09-25,Rosh Hashanah I
1995-09-26,Rosh Hashanah II
1995-09-27,Fast of Gedaliah
1995-10-04,Yom Kippur
1995-10-09,Sukkot I
1995-10-10,Sukkot II
1995-10-11,Chol HaMoed Sukkot
1995-10-12,Chol HaMoed Sukkot
1995-10-13,Chol HaMoed Sukkot
1995-10-14,Chol HaMoed Sukkot
1995-10-15,Hoshana Rabbah
1995-10-16,Shemini Atzeret
1995-10-17,Simchat Torah
1995-12-18,Chanukah Day 1
1995-12-19,Chanukah Day 2
1995-12-20,Chanukah Day 3
1995-12-21,Chanukah Day 4
1995-12-22,Chanukah Day 5
1995-12-23,Chanukah Day 6
1995-12-24,Chanukah Day 7
