date,name
2015-04-29,Showa Day
2015-05-04,Greenery Day
2015-05-05,Children's Day
2015-05-06,Constitution Memorial Day
2015-07-20,Marine Day (2003 - 2019)
2015-09-21,Respect for the Aged Day (2003 onwards)
2015-09-22,JPX Holiday
2015-09-22,XTKS Holiday
2015-09-23,JPX Holiday
2015-09-23,XTKS Holiday
2015-10-12,Health and Sports Day (2000 - 2019)
2015-11-03,Culture Day
2015-11-23,Labor Thanksgiving Day
2015-12-23,Emperor Akihito's Birthday
2015-12-31,New Year's Holiday (Dec 31)
2016-01-01,New Year's Day
2016-01-11,Coming of Age Day (2000 onwards)
2016-02-11,National Foundation Day
2016-03-21,JPX Holiday
2016-03-21,XTKS Holiday
2016-04-29,Showa Day
2016-05-03,Constitution Memorial Day
2016-05-04,Greenery Day
2016-05-05,Children's Day
2016-07-18,Marine Day (2003 - 2019)
2016-08-11,Mountain Day (through 2019)
2016-09-19,Respect for the Aged Day (2003 onwards)
2016-09-22,JPX Holiday
2016-09-22,XTKS Holiday
2016-10-10,Health and Sports Day (2000 - 2019)
2016-11-03,Culture Day
2016-11-23,Labor Thanksgiving Day
2016-12-23,Emperor Akihito's Birthday
2017-01-02,New Year's Holiday (Jan 2)
2017-01-03,New Year's Holiday (Jan 3)
2017-01-09,Coming of Age Day (2000 onwards)
2017-03-20,JPX Holiday
2017-03-20,XTKS Holiday
2017-05-03,Constitution Memorial Day
2017-05-04,Greenery Day
2017-05-05,Children's Day
2017-07-17,Marine Day (2003 - 2019)
2017-08-11,Mountain Day (through 2019)
2017-09-18,Respect for the Aged Day (2003 onwards)
2017-10-09,Health and Sports Day (2000 - 2019)
2017-11-03,Culture Day
2017-11-23,Labor Thanksgiving Day
2018-01-01,New Year's Day
2018-01-02,New Year's Holiday (Jan 2)
2018-01-03,New Year's Holiday (Jan 3)
2018-01-08,Coming of Age Day (2000 onwards)
2018-02-12,National Foundation Day
2018-03-21,JPX Holiday
2018-03-21,XTKS Holiday
2018-04-30,Showa Day
2018-05-03,Constitution Memorial Day
2018-05-04,Greenery Day
2018-07-16,Marine Day (2003 - 2019)
2018-09-17,Respect for the Aged Day (2003 onwards)
2018-09-24,JPX Holiday
2018-09-24,XTKS Holiday
2018-10-08,Health and Sports Day (2000 - 2019)
2018-11-23,Labor Thanksgiving Day
2018-12-24,Emperor Akihito's Birthday
2018-12-31,New Year's Holiday (Dec 31)
2019-01-01,New Year's Day
2019-01-02,New Year's Holiday (Jan 2)
2019-01-03,New Year's Holiday (Jan 3)
2019-01-14,Coming of Age Day (2000 onwards)
2019-02-11,National Foundation Day
2019-03-21,JPX Holiday
2019-03-21,XTKS Holiday
2019-04-29,Showa Day
2019-04-30,JPX Holiday
2019-04-30,XTKS Holiday
2019-05-01,JPX Holiday
2019-05-01,XTKS Holiday
2019-05-02,JPX Holiday
2019-05-02,XTKS Holiday
2019-05-03,Constitution Memorial Day
2019-05-06,Children's Day
2019-07-15,Marine Day (2003 - 2019)
2019-08-12,Mountain Day (through 2019)
2019-09-16,Respect for the Aged Day (2003 onwards)
2019-09-23,JPX Holiday
2019-09-23,XTKS Holiday
2019-10-14,Health and Sports Day (2000 - 2019)
2019-10-22,JPX Holiday
2019-10-22,XTKS Holiday
2019-11-04,Culture Day
2019-12-31,New Year's Holiday (Dec 31)
2020-01-01,New Year's Day
2020-01-02,New Year's Holiday (Jan 2)
2020-01-03,New Year's Holiday (Jan 3)
2020-01-13,Coming of Age Day (2000 onwards)
2020-02-11,National Foundation Day
2020-02-24,Emperor Naruhito's Birthday
2020-03-20,JPX Holiday
2020-03-20,XTKS Holiday
2020-04-29,Showa Day
2020-05-04,Greenery Day
2020-05-05,Children's Day
2020-05-06,Constitution Memorial Day
2020-07-23,Marine Day (2020)
2020-07-24,Health and Sports Day (2020)
2020-08-10,Mountain Day (2020)
2020-09-21,Respect for the Aged Day (2003 onwards)
2020-09-22,JPX Holiday
2020-09-22,XTKS Holiday
2020-10-01,JPX Holiday
2020-10-01,XTKS Holiday
2020-11-03,Culture Day
2020-11-23,Labor Thanksgiving Day
2020-12-31,New Year's Holiday (Dec 31)
2021-01-01,New Year's Day
2021-01-11,Coming of Age Day (2000 onwards)
2021-02-11,National Foundation Day
2021-02-23,Emperor Naruhito's Birthday
2021-04-29,Showa Day
2021-05-03,Constitution Memorial Day
2021-05-04,Greenery Day
