date,name,early_close_utc
2008-07-03,SIFMA Early Close,14:00 ET
2008-11-28,SIFMA Early Close,14:00 ET
2008-12-24,SIFMA Early Close,14:00 ET
2008-12-31,SIFMA Early Close,14:00 ET
2009-11-27,SIFMA Early Close,14:00 ET
2009-12-24,SIFMA Early Close,14:00 ET
2009-12-31,SIFMA Early Close,14:00 ET
2010-07-02,SIFMA Early Close,14:00 ET
2010-11-26,SIFMA Early Close,14:00 ET
2010-12-31,SIFMA Early Close,14:00 ET
2011-07-01,SIFMA Early Close,14:00 ET
2011-11-25,SIFMA Early Close,14:00 ET
2012-07-03,SIFMA Early Close,14:00 ET
2012-11-23,SIFMA Early Close,14:00 ET
2012-12-24,SIFMA Early Close,14:00 ET
2012-12-31,SIFMA Early Close,14:00 ET
2013-07-03,SIFMA Early Close,14:00 ET
2013-11-29,SIFMA Early Close,14:00 ET
2013-12-24,SIFMA Early Close,14:00 ET
2013-12-31,SIFMA Early Close,14:00 ET
2014-07-03,SIFMA Early Close,14:00 ET
2014-11-28,SIFMA Early Close,14:00 ET
2014-12-24,SIFMA Early Close,14:00 ET
2014-12-31,SIFMA Early Close,14:00 ET
2015-11-27,SIFMA Early Close,14:00 ET
2015-12-24,SIFMA Early Close,14:00 ET
2015-12-31,SIFMA Early Close,14:00 ET
2016-07-01,SIFMA Early Close,14:00 ET
2016-11-25,SIFMA Early Close,14:00 ET
2017-07-03,SIFMA Early Close,14:00 ET
2017-11-24,SIFMA Early Close,14:00 ET
2018-07-03,SIFMA Early Close,14:00 ET
2018-11-23,SIFMA Early Close,14:00 ET
2018-12-24,SIFMA Early Close,14:00 ET
2018-12-31,SIFMA Early Close,14:00 ET
2019-07-03,SIFMA Early Close,14:00 ET
2019-11-29,SIFMA Early Close,14:00 ET
2019-12-24,SIFMA Early Close,14:00 ET
2019-12-31,SIFMA Early Close,14:00 ET
2020-11-27,SIFMA Early Close,14:00 ET
2020-12-24,SIFMA Early Close,14:00 ET
2020-12-31,SIFMA Early Close,14:00 ET
2021-07-02,SIFMA Early Close,14:00 ET
2021-11-26,SIFMA Early Close,14:00 ET
2021-12-31,SIFMA Early Close,14:00 ET
2022-07-01,SIFMA Early Close,14:00 ET
2022-11-25,SIFMA Early Close,14:00 ET
2023-07-03,SIFMA Early Close,14:00 ET
2023-11-24,SIFMA Early Close,14:00 ET
2024-07-03,SIFMA Early Close,14:00 ET
2024-11-29,SIFMA Early Close,14:00 ET
2024-12-24,SIFMA Early Close,14:00 ET
2024-12-31,SIFMA Early Close,14:00 ET
2025-07-03,SIFMA Early Close,14:00 ET
2025-11-28,SIFMA Early Close,14:00 ET
2025-12-24,SIFMA Early Close,14:00 ET
2025-12-31,SIFMA Early Close,14:00 ET
2026-11-27,SIFMA Early Close,14:00 ET
2026-12-24,SIFMA Early Close,14:00 ET
2026-12-31,SIFMA Early Close,14:00 ET
2027-07-02,SIFMA Early Close,14:00 ET
2027-11-26,SIFMA Early Close,14:00 ET
2027-12-31,SIFMA Early Close,14:00 ET
2028-07-03,SIFMA Early Close,14:00 ET
2028-11-24,SIFMA Early Close,14:00 ET
2029-07-03,SIFMA Early Close,14:00 ET
2029-11-23,SIFMA Early Close,14:00 ET
2029-12-24,SIFMA Early Close,14:00 ET
2029-12-31,SIFMA Early Close,14:00 ET
2030-07-03,SIFMA Early Close,14:00 ET
2030-11-29,SIFMA Early Close,14:00 ET
2030-12-24,SIFMA Early Close,14:00 ET
2030-12-31,SIFMA Early Close,14:00 ET
