date,name
1999-04-29,Greenery Day
1999-05-03,Constitution Memorial Day
1999-05-04,Citizens' Holiday
1999-05-05,Children's Day
1999-07-20,Marine Day
1999-09-15,Respect for the Aged Day
1999-09-23,Autumnal Equinox Day
1999-10-10,Health-Sports Day
1999-10-11,Health-Sports Day (substitute)
1999-11-03,Culture Day
1999-11-23,Labor Thanksgiving Day
1999-12-23,Emperor's Birthday
1999-12-31,Bank Holiday
2000-01-01,New Year's Day
2000-01-02,Bank Holiday
2000-01-03,Bank Holiday
2000-01-10,Coming of Age Day
2000-02-11,National Foundation Day
2000-03-20,Vernal Equinox Day
2000-04-29,Greenery Day
2000-05-03,Constitution Memorial Day
2000-05-04,Citizens' Holiday
2000-05-05,Children's Day
2000-07-20,Marine Day
2000-09-15,Respect for the Aged Day
2000-09-23,Autumnal Equinox Day
2000-10-09,Health-Sports Day
2000-11-03,Culture Day
2000-11-23,Labor Thanksgiving Day
2000-12-23,Emperor's Birthday
2000-12-31,Bank Holiday
2001-01-01,New Year's Day
2001-01-02,Bank Holiday
2001-01-03,Bank Holiday
2001-01-08,Coming of Age Day
2001-02-11,National Foundation Day
2001-02-12,National Foundation Day (substitute)
2001-03-20,Vernal Equinox Day
2001-04-29,Greenery Day
2001-04-30,Greenery Day (substitute)
2001-05-03,Constitution Memorial Day
2001-05-04,Citizens' Holiday
2001-05-05,Children's Day
2001-07-20,Marine Day
2001-09-15,Respect for the Aged Day
2001-09-23,Autumnal Equinox Day
2001-09-24,Autumnal Equinox Day (substitute)
2001-10-08,Health-Sports Day
2001-11-03,Culture Day
2001-11-23,Labor Thanksgiving Day
2001-12-23,Emperor's Birthday
2001-12-24,Emperor's Birthday (substitute)
2001-12-31,Bank Holiday
2002-01-01,New Year's Day
2002-01-02,Bank Holiday
2002-01-03,Bank Holiday
2002-01-14,Coming of Age Day
2002-02-11,National Foundation Day
2002-03-21,Vernal Equinox Day
2002-04-29,Greenery Day
2002-05-03,Constitution Memorial Day
2002-05-04,Citizens' Holiday
2002-05-05,Children's Day
2002-05-06,Children's Day (substitute)
2002-07-20,Marine Day
2002-09-15,Respect for the Aged Day
2002-09-16,Respect for the Aged Day (substitute)
2002-09-23,Autumnal Equinox Day
2002-10-14,Health-Sports Day
2002-11-03,Culture Day
2002-11-04,Culture Day (substitute)
2002-11-23,Labor Thanksgiving Day
2002-12-23,Emperor's Birthday
2002-12-31,Bank Holiday
2003-01-01,New Year's Day
2003-01-02,Bank Holiday
2003-01-03,Bank Holiday
2003-01-13,Coming of Age Day
2003-02-11,National Foundation Day
2003-03-21,Vernal Equinox Day
2003-04-29,Greenery Day
2003-05-03,Constitution Memorial Day
2003-05-05,Children's Day
2003-07-21,Marine Day
2003-09-15,Respect for the Aged Day
2003-09-23,Autumnal Equinox Day
2003-10-13,Health-Sports Day
2003-11-03,Culture Day
2003-11-23,Labor Thanksgiving Day
2003-11-24,Labor Thanksgiving Day (substitute)
2003-12-23,Emperor's Birthday
2003-12-31,Bank Holiday
2004-01-01,New Year's Day
2004-01-02,Bank Holiday
2004-01-03,Bank Holiday
2004-01-12,Coming of Age Day
2004-02-11,National Foundation Day
2004-03-20,Vernal Equinox Day
2004-04-29,Greenery Day
2004-05-03,Constitution Memorial Day
2004-05-04,Citizens' Holiday
2004-05-05,Children's Day
2004-07-19,Marine Day
2004-09-20,Respect for the Aged Day
2004-09-23,Autumnal Equinox Day
2004-10-11,Health-Sports Day
2004-11-03,Culture Day
2004-11-23,Labor Thanksgiving Day
2004-12-23,Emperor's Birthday
2004-12-31,Bank Holiday
2005-01-01,New Year's Day
2005-01-02,Bank Holiday
2005-01-03,Bank Holiday
2005-01-10,Coming of Age Day
2005-02-11,National Foundation Day
2005-03-20,Vernal Equinox Day
2005-03-21,Vernal Equinox Day (substitute)
2005-04-29,Greenery Day
2005-05-03,Constitution Memorial Day
2005-05-04,Citizens' Holiday
2005-05-05,Children's Day
2005-07-18,Marine Day
2005-09-19,Respect for the Aged Day
2005-09-23,Autumnal Equinox Day
2005-10-10,Health-Sports Day
2005-11-03,Culture Day
2005-11-23,Labor Thanksgiving Day
2005-12-23,Emperor's Birthday
2005-12-31,Bank Holiday
2006-01-01,New Year's Day
2006-01-02,New Year's Day (substitute)
2006-01-03,Bank Holiday
2006-01-09,Coming of Age Day
2006-02-11,National Foundation Day
2006-03-21,Vernal Equinox Day
2006-04-29,Greenery Day
2006-05-03,Constitution Memorial Day
2006-05-04,Citizens' Holiday
2006-05-05,Children's Day
2006-07-17,Marine Day
2006-09-18,Respect for the Aged Day
2006-09-23,Autumnal Equinox Day
2006-10-09,Health-Sports Day
2006-11-03,Culture Day
2006-11-23,Labor Thanksgiving Day
2006-12-23,Emperor's Birthday
2006-12-31,Bank Holiday
2007-01-01,New Year's Day
2007-01-02,Bank Holiday
2007-01-03,Bank Holiday
